ID,Priority,Category,Module,Test Name,Error Type,Error Message,Root Cause,Recommended Fix,Effort (Hours),Status
1,P0,Import Error,neural/hpo/hpo.py,test_hpo_integration,ModuleNotFoundError,No module named 'keras',Direct keras import instead of tensorflow.keras,"Change 'import keras' to 'from tensorflow import keras'",0.1,Open
2,P0,Import Error,neural/visualization/dynamic_visualizer/api.py,test_dynamic_visualizer,ModuleNotFoundError,No module named 'parser.parser',Incorrect relative import,"Change 'from parser.parser' to 'from neural.parser.parser'",0.05,Open
3,P0,Import Error,neural/automl/search_strategies.py,test_automl_coverage,ImportError,Cannot import RandomSearch,Class not implemented,Implement RandomSearch class,2,Open
4,P0,Import Error,neural/automl/search_strategies.py,test_automl_coverage,ImportError,Cannot import BayesianSearch,Class not implemented,Implement BayesianSearch class,2,Open
5,P0,Import Error,neural/automl/search_strategies.py,test_automl_coverage,ImportError,Cannot import EvolutionarySearch,Class not implemented,Implement EvolutionarySearch class,2,Open
6,P0,Import Error,neural/cost/__init__.py,test_cost,ImportError,Cannot import ResourceMetrics,Class not defined/exported,Implement or export ResourceMetrics class,1,Open
7,P0,Import Error,neural/data/quality_validator.py,test_data_coverage,ImportError,Cannot import QualityValidator,Class not implemented,Implement QualityValidator class,1,Open
8,P0,Import Error,neural/federated/aggregation.py,test_federated_coverage,ImportError,Cannot import FederatedAveraging,Class not implemented,Implement FederatedAveraging class,2,Open
9,P0,Import Error,neural/federated/aggregation.py,test_federated_coverage,ImportError,Cannot import SecureAggregation,Class not implemented,Implement SecureAggregation class,2,Open
10,P0,Import Error,neural/mlops/deployment.py,test_mlops_coverage,ImportError,Cannot import ModelDeployment,Class not implemented,Implement ModelDeployment class,2,Open
11,P0,Import Error,neural/monitoring/data_quality.py,test_monitoring_coverage,ImportError,Cannot import DataQualityChecker,Class not implemented,Implement DataQualityChecker class,1,Open
12,P0,Import Error,neural/tracking/__init__.py,test_experiment_tracker,ImportError,Cannot import ArtifactVersion,Class not defined/exported,Implement or export ArtifactVersion class,1,Open
13,P1,Code Generation,neural/code_generation/,test_generate_tensorflow_complex,CodeGenException,Output layer expects 2D input but got higher-rank,auto_flatten_output not enabled in tests,Add auto_flatten_output=True to test fixtures,2,Open
14,P1,Code Generation,neural/code_generation/,test_generate_pytorch_complex,CodeGenException,Output layer expects 2D input but got higher-rank,auto_flatten_output not enabled in tests,Add auto_flatten_output=True to test fixtures,2,Open
15,P1,Code Generation,neural/code_generation/,test_tensorflow_layer_generation[Dense],CodeGenException,Output layer expects 2D input but got higher-rank,auto_flatten_output not enabled in tests,Add auto_flatten_output=True to test fixtures,2,Open
16,P1,Code Generation,neural/code_generation/,test_pytorch_layer_generation[Dense],CodeGenException,Output layer expects 2D input but got higher-rank,auto_flatten_output not enabled in tests,Add auto_flatten_output=True to test fixtures,2,Open
17,P1,Code Generation,neural/code_generation/,test_invalid_activation_handling,CodeGenException,Output layer expects 2D input but got higher-rank,auto_flatten_output not enabled in tests,Add auto_flatten_output=True to test fixtures,2,Open
18,P1,Code Generation,neural/code_generation/,test_shape_propagation,CodeGenException,Output layer expects 2D input but got higher-rank,auto_flatten_output not enabled in tests,Add auto_flatten_output=True to test fixtures,2,Open
19,P1,Code Generation,neural/code_generation/,test_custom_optimizer_params,CodeGenException,Output layer expects 2D input but got higher-rank,auto_flatten_output not enabled in tests,Add auto_flatten_output=True to test fixtures,2,Open
20,P1,Code Generation,neural/code_generation/,test_transformer_generation,CodeGenException,Output layer expects 2D input but got higher-rank,auto_flatten_output not enabled in tests,Add auto_flatten_output=True to test fixtures,2,Open
21,P1,Code Generation,neural/code_generation/,test_transformer_with_multiple_layers,CodeGenException,Output layer expects 2D input but got higher-rank,auto_flatten_output not enabled in tests,Add auto_flatten_output=True to test fixtures,2,Open
22,P1,Code Generation,neural/code_generation/,test_transformer_with_custom_activation,CodeGenException,Output layer expects 2D input but got higher-rank,auto_flatten_output not enabled in tests,Add auto_flatten_output=True to test fixtures,2,Open
23,P1,Code Generation,neural/code_generation/,test_transformer_with_attention_mask,CodeGenException,Output layer expects 2D input but got higher-rank,auto_flatten_output not enabled in tests,Add auto_flatten_output=True to test fixtures,2,Open
24,P1,Code Generation,neural/code_generation/,test_transformer_all_features,CodeGenException,Output layer expects 2D input but got higher-rank,auto_flatten_output not enabled in tests,Add auto_flatten_output=True to test fixtures,2,Open
25,P1,Code Generation,neural/code_generation/,test_different_pooling_configs,CodeGenException,Output layer expects 2D input but got higher-rank,auto_flatten_output not enabled in tests,Add auto_flatten_output=True to test fixtures,2,Open
26,P1,Code Generation,neural/code_generation/,test_rnn_types_and_configs,CodeGenException,Output layer expects 2D input but got higher-rank,auto_flatten_output not enabled in tests,Add auto_flatten_output=True to test fixtures,2,Open
27,P1,Code Generation,neural/code_generation/,test_batch_norm_params,CodeGenException,Output layer expects 2D input but got higher-rank,auto_flatten_output not enabled in tests,Add auto_flatten_output=True to test fixtures,2,Open
28,P1,Code Generation,neural/code_generation/,test_mixed_precision_training,CodeGenException,Output layer expects 2D input but got higher-rank,auto_flatten_output not enabled in tests,Add auto_flatten_output=True to test fixtures,2,Open
29,P1,Code Generation,neural/code_generation/,test_model_saving_loading,CodeGenException,Output layer expects 2D input but got higher-rank,auto_flatten_output not enabled in tests,Add auto_flatten_output=True to test fixtures,2,Open
30,P1,Code Generation,neural/code_generation/,test_ensure_2d_tf_higher_rank_no_auto_flatten,CodeGenException,Output layer expects 2D input but got higher-rank,Test validates policy is working,No fix needed - test validates expected behavior,0,Working As Intended
31,P1,Code Generation,neural/code_generation/,test_ensure_2d_pt_higher_rank_no_auto_flatten,CodeGenException,Output layer expects 2D input but got higher-rank,Test validates policy is working,No fix needed - test validates expected behavior,0,Working As Intended
32,P1,Code Generation,neural/code_generation/,test_training_config_with_mixed_precision,CodeGenException,Output layer expects 2D input but got higher-rank,auto_flatten_output not enabled in tests,Add auto_flatten_output=True to test fixtures,2,Open
33,P1,Code Generation,neural/code_generation/,test_output_requires_flatten_policy[False-tensorflow],CodeGenException,Output layer expects 2D input but got higher-rank,Test validates policy without auto_flatten,Test needs to expect exception or enable auto_flatten,1,Open
34,P1,Code Generation,neural/code_generation/,test_output_requires_flatten_policy[False-pytorch],CodeGenException,Output layer expects 2D input but got higher-rank,Test validates policy without auto_flatten,Test needs to expect exception or enable auto_flatten,1,Open
35,P2,Parser,neural/parser/parser.py,test_valid_device_cpu,KeyError,'device' key not found,Parser doesn't preserve device specification,Add device extraction to ModelTransformer,1,Open
36,P2,Parser,neural/parser/parser.py,test_valid_device_cuda_with_index,KeyError,'device' key not found,Parser doesn't preserve device specification,Add device extraction to ModelTransformer,1,Open
37,P2,Parser,neural/parser/parser.py,test_valid_device_tpu,KeyError,'device' key not found,Parser doesn't preserve device specification,Add device extraction to ModelTransformer,1,Open
38,P2,Parser,neural/parser/parser.py,test_network_with_execution_config,AssertionError,'execution_config' not in parsed output,Parser doesn't extract execution_config,Add execution_config section parsing,1,Open
39,P2,Parser,neural/parser/parser.py,test_network_missing_optimizer,KeyError,'optimizer' key not found,Parser doesn't validate required fields,Add validation for required optimizer field,0.5,Open
40,P2,Parser,neural/parser/parser.py,test_network_missing_loss,KeyError,'loss' key not found,Parser doesn't validate required fields,Add validation for required loss field,0.5,Open
41,P2,Parser,neural/parser/parser.py,test_multiple_hpo_expressions_in_single_param,DSLValidationError,Dense activation must be string or HPO,HPO parsing doesn't handle nested HPO dicts,Fix HPO expression parsing for edge cases,2,Open
42,P2,Parser,neural/parser/parser.py,test_layer_with_empty_sublayers,AssertionError,Expected [] got None,Empty sublayers returns None instead of empty list,Return [] for empty sublayers,0.25,Open
